Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
438,ANTI-SYNC,-2.191,UN,131.45,UN,True,131.45,1131.45
439,ANTI-SYNC,-2.191,UN,148.73,OV,False,-148.73,982.72
440,ANTI-SYNC,-2.191,UN,129.18,OV,False,-129.18,853.54
441,ANTI-SYNC,-2.191,UN,112.20,UN,True,112.20,965.74
442,ANTI-SYNC,-2.191,UN,126.95,UN,True,126.95,1092.69
443,ANTI-SYNC,-2.191,UN,143.64,UN,True,143.64,1236.33
444,ANTI-SYNC,-2.191,UN,162.52,UN,True,162.52,1398.85
445,ANTI-SYNC,-2.191,UN,183.88,OV,False,-183.88,1214.97
446,ANTI-SYNC,-2.191,UN,159.71,OV,False,-159.71,1055.26
447,ANTI-SYNC,-2.191,UN,138.72,OV,False,-138.72,916.54
448,ANTI-SYNC,-2.191,UN,120.48,UN,True,120.48,1037.02
449,ANTI-SYNC,-2.191,UN,136.32,UN,True,136.32,1173.34
450,ANTI-SYNC,-2.191,UN,154.24,UN,True,154.24,1327.58
451,ANTI-SYNC,-2.191,UN,174.51,OV,False,-174.51,1153.07
452,ANTI-SYNC,-2.191,UN,151.57,UN,True,151.57,1304.64
453,ANTI-SYNC,-2.191,UN,171.50,UN,True,171.50,1476.14
454,ANTI-SYNC,-2.191,UN,194.04,OV,False,-194.04,1282.10
455,ANTI-SYNC,-2.191,UN,168.54,OV,False,-168.54,1113.56
456,ANTI-SYNC,-2.191,UN,146.38,OV,False,-146.38,967.18
457,ANTI-SYNC,-2.191,UN,127.14,UN,True,127.14,1094.32
458,ANTI-SYNC,-2.191,UN,143.85,UN,True,143.85,1238.17
459,ANTI-SYNC,-2.191,UN,162.76,UN,True,162.76,1400.93
460,ANTI-SYNC,-2.191,UN,184.16,UN,True,184.16,1585.09
461,ANTI-SYNC,-2.191,UN,208.37,OV,False,-208.37,1376.72
462,ANTI-SYNC,-2.191,UN,180.97,OV,False,-180.97,1195.75
463,ANTI-SYNC,-2.191,UN,157.19,OV,False,-157.19,1038.56
464,ANTI-SYNC,-2.191,UN,136.52,OV,False,-136.52,902.04
465,ANTI-SYNC,-2.191,UN,118.58,UN,True,118.58,1020.62
466,ANTI-SYNC,-2.191,UN,134.16,UN,True,134.16,1154.78
467,ANTI-SYNC,-2.191,UN,151.80,UN,True,151.80,1306.58
468,ANTI-SYNC,-2.191,UN,171.75,UN,True,171.75,1478.33
469,ANTI-SYNC,-2.191,UN,194.33,UN,True,194.33,1672.66
470,ANTI-SYNC,-2.191,UN,219.88,OV,False,-219.88,1452.78
471,ANTI-SYNC,-2.191,UN,190.97,UN,True,190.97,1643.75
472,ANTI-SYNC,-2.191,UN,216.08,OV,False,-216.08,1427.67
473,ANTI-SYNC,-2.191,UN,187.67,UN,True,187.67,1615.34
474,ANTI-SYNC,-2.191,UN,212.34,OV,False,-212.34,1403.00
475,ANTI-SYNC,-2.191,UN,184.43,OV,False,-184.43,1218.57
476,ANTI-SYNC,-2.191,UN,160.19,UN,True,160.19,1378.76
477,ANTI-SYNC,-2.191,UN,181.24,UN,True,181.24,1560.00
478,ANTI-SYNC,-2.191,UN,205.07,OV,False,-205.07,1354.93
479,ANTI-SYNC,-2.191,UN,178.11,OV,False,-178.11,1176.82
480,ANTI-SYNC,-2.191,UN,154.70,UN,True,154.70,1331.52
481,ANTI-SYNC,-2.191,UN,175.03,UN,True,175.03,1506.55
482,ANTI-SYNC,-2.191,UN,198.04,OV,False,-198.04,1308.51
483,ANTI-SYNC,-2.191,UN,172.01,OV,False,-172.01,1136.50
484,ANTI-SYNC,-2.191,UN,149.40,UN,True,149.40,1285.90
485,ANTI-SYNC,-2.191,UN,169.04,OV,False,-169.04,1116.86
486,ANTI-SYNC,-2.191,UN,146.82,UN,True,146.82,1263.68
487,ANTI-SYNC,-2.191,UN,166.12,OV,False,-166.12,1097.56
488,ANTI-SYNC,-2.191,UN,144.28,OV,False,-144.28,953.28
489,ANTI-SYNC,-2.191,UN,125.31,OV,False,-125.31,827.97
490,ANTI-SYNC,-2.191,UN,108.84,OV,False,-108.84,719.13
491,ANTI-SYNC,-2.191,UN,94.53,UN,True,94.53,813.66
492,ANTI-SYNC,-2.191,UN,106.96,UN,True,106.96,920.62
493,ANTI-SYNC,-2.191,UN,121.02,UN,True,121.02,1041.64
494,ANTI-SYNC,-2.191,UN,136.93,UN,True,136.93,1178.57
495,ANTI-SYNC,-2.191,UN,154.93,OV,False,-154.93,1023.64
496,ANTI-SYNC,-2.191,UN,134.56,UN,True,134.56,1158.20
497,ANTI-SYNC,-2.191,UN,152.25,UN,True,152.25,1310.45
498,ANTI-SYNC,-2.191,UN,172.26,UN,True,172.26,1482.71
499,ANTI-SYNC,-2.191,UN,194.91,UN,True,194.91,1677.62
500,ANTI-SYNC,-2.191,UN,220.53,OV,False,-220.53,1457.09
501,ANTI-SYNC,-2.191,UN,191.54,UN,True,191.54,1648.63
502,ANTI-SYNC,-2.191,UN,216.72,OV,False,-216.72,1431.91
503,ANTI-SYNC,-2.191,UN,188.23,OV,False,-188.23,1243.68
504,ANTI-SYNC,-2.191,UN,163.49,OV,False,-163.49,1080.19
505,ANTI-SYNC,-2.191,UN,141.99,UN,True,141.99,1222.18
506,ANTI-SYNC,-2.191,UN,160.66,OV,False,-160.66,1061.52
507,ANTI-SYNC,-2.191,UN,139.54,OV,False,-139.54,921.98
508,ANTI-SYNC,-2.191,UN,121.20,OV,False,-121.20,800.78
509,ANTI-SYNC,-2.191,UN,105.27,OV,False,-105.27,695.51
510,ANTI-SYNC,-2.191,UN,91.43,UN,True,91.43,786.94
511,ANTI-SYNC,-2.191,UN,103.45,OV,False,-103.45,683.49
512,ANTI-SYNC,-2.191,UN,89.85,OV,False,-89.85,593.64
513,ANTI-SYNC,-2.191,UN,78.04,UN,True,78.04,671.68
514,ANTI-SYNC,-2.191,UN,88.29,UN,True,88.29,759.97
515,ANTI-SYNC,-2.191,UN,99.90,UN,True,99.90,859.87
