Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
516,ANTI-SYNC,-2.556,UN,2.50,UN,True,2.50,52.50
527,ANTI-SYNC,-2.556,UN,2.62,UN,True,2.62,55.12
528,ANTI-SYNC,-2.556,UN,2.76,UN,True,2.76,57.88
529,ANTI-SYNC,-2.556,UN,2.89,OV,False,-2.89,54.99
530,ANTI-SYNC,-2.556,UN,2.75,UN,True,2.75,57.74
531,ANTI-SYNC,-2.556,UN,2.89,UN,True,2.89,60.63
532,ANTI-SYNC,-2.921,UN,3.03,UN,True,3.03,63.66
533,ANTI-SYNC,-2.556,UN,3.18,OV,False,-3.18,60.48
534,ANTI-SYNC,-2.556,UN,3.02,UN,True,3.02,63.50
535,ANTI-SYNC,-2.556,UN,3.18,UN,True,3.18,66.68
536,ANTI-SYNC,-2.921,UN,3.33,UN,True,3.33,70.01
537,ANTI-SYNC,-2.921,UN,3.50,UN,True,3.50,73.51
538,ANTI-SYNC,-2.921,UN,3.68,UN,True,3.68,77.19
539,ANTI-SYNC,-2.921,UN,3.86,OV,False,-3.86,73.33
540,ANTI-SYNC,-2.556,UN,3.67,OV,False,-3.67,69.66
568,SYNC,2.556,OV,3.48,OV,True,3.48,73.14
817,SYNC,2.556,OV,3.66,OV,True,3.66,76.80
1653,ANTI-SYNC,-2.556,UN,3.84,UN,True,3.84,80.64
1654,ANTI-SYNC,-2.556,UN,4.03,UN,True,4.03,84.67
2213,ANTI-SYNC,-2.556,UN,4.23,UN,True,4.23,88.90
2214,ANTI-SYNC,-2.556,UN,4.45,OV,False,-4.45,84.45
2215,ANTI-SYNC,-2.556,UN,4.22,UN,True,4.22,88.67
2487,SYNC,2.556,OV,4.43,OV,True,4.43,93.10
2488,SYNC,2.556,OV,4.66,OV,True,4.66,97.76
2489,SYNC,2.556,OV,4.89,OV,True,4.89,102.65
2490,SYNC,2.921,OV,5.13,OV,True,5.13,107.78
2491,SYNC,2.921,OV,5.39,UN,False,-5.39,102.39
2492,SYNC,2.921,OV,5.12,OV,True,5.12,107.51
2493,SYNC,2.921,OV,5.38,UN,False,-5.38,102.13
2494,SYNC,2.556,OV,5.11,UN,False,-5.11,97.02
2495,SYNC,2.556,OV,4.85,UN,False,-4.85,92.17
2496,SYNC,2.556,OV,4.61,OV,True,4.61,96.78
2497,SYNC,2.556,OV,4.84,OV,True,4.84,101.62
2498,SYNC,2.921,OV,5.08,OV,True,5.08,106.70
2499,SYNC,2.921,OV,5.34,OV,True,5.34,112.04
2500,SYNC,2.556,OV,5.60,UN,False,-5.60,106.44
2501,SYNC,2.921,OV,5.32,OV,True,5.32,111.76
2502,SYNC,3.286,OV,5.59,OV,True,5.59,117.35
2503,SYNC,2.921,OV,5.87,UN,False,-5.87,111.48
2504,SYNC,2.556,OV,5.57,UN,False,-5.57,105.91
2531,ANTI-SYNC,-2.556,UN,5.30,UN,True,5.30,111.21
2532,ANTI-SYNC,-2.921,UN,5.56,UN,True,5.56,116.77
2533,ANTI-SYNC,-2.921,UN,5.84,UN,True,5.84,122.61
2534,ANTI-SYNC,-2.556,UN,6.13,OV,False,-6.13,116.48
2607,SYNC,2.556,OV,5.82,OV,True,5.82,122.30
2771,SYNC,2.556,OV,6.12,OV,True,6.12,128.42
2772,SYNC,2.921,OV,6.42,OV,True,6.42,134.84
2773,SYNC,2.921,OV,6.74,UN,False,-6.74,128.10
2774,SYNC,3.286,OV,6.41,OV,True,6.41,134.51
2775,SYNC,3.286,OV,6.73,OV,True,6.73,141.24
2776,SYNC,3.286,OV,7.06,OV,True,7.06,148.30
2777,SYNC,3.286,OV,7.42,UN,False,-7.42,140.88
2778,SYNC,3.286,OV,7.04,OV,True,7.04,147.92
2779,SYNC,2.921,OV,7.40,UN,False,-7.40,140.52
2780,SYNC,2.556,OV,7.03,UN,False,-7.03,133.49
2790,SYNC,2.556,OV,6.67,OV,True,6.67,140.16
2791,SYNC,2.556,OV,7.01,OV,True,7.01,147.17
